DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(mA),Voltage(V),Capacity(mAh),Spec. Cap.(mAh/g),Chg. Cap.(mAh),Chg. Spec. Cap.(mAh/g),DChg. Cap.(mAh),DChg. Spec. Cap.(mAh/g),Energy(mWh),Spec. Energy(mWh/g),Chg. Energy(mWh),Chg. Spec. Energy(mWh/g),DChg. Energy(mWh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mO),Module start-stop switch
35,1,1,Rest,00:17:00,00:17:00,0.0000,2.2507,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:42:59,0.0000000,0.0000,0.0000,0,Close
36,1,1,Rest,00:17:30,00:17:30,0.0000,2.2506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:43:29,0.0000000,0.0000,0.0000,0,Close
37,1,1,Rest,00:18:00,00:18:00,0.0000,2.2506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:43:59,0.0000000,0.0000,0.0000,0,Close
38,1,1,Rest,00:18:30,00:18:30,0.0000,2.2506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:44:29,0.0000000,0.0000,0.0000,0,Close
39,1,1,Rest,00:19:00,00:19:00,0.0000,2.2508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:44:59,0.0000000,0.0000,0.0000,0,Close
40,1,1,Rest,00:19:30,00:19:30,0.0000,2.2506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:45:29,0.0000000,0.0000,0.0000,0,Close
41,1,1,Rest,00:20:00,00:20:00,0.0000,2.2506,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:45:59,0.0000000,0.0000,0.0000,0,Close
42,1,1,Rest,00:20:30,00:20:30,0.0000,2.2507,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:46:29,0.0000000,0.0000,0.0000,0,Close
43,1,1,Rest,00:21:00,00:21:00,0.0000,2.2507,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:46:59,0.0000000,0.0000,0.0000,0,Close
44,1,1,Rest,00:21:30,00:21:30,0.0000,2.2508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:47:29,0.0000000,0.0000,0.0000,0,Close
45,1,1,Rest,00:22:00,00:22:00,0.0000,2.2508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:47:59,0.0000000,0.0000,0.0000,0,Close
46,1,1,Rest,00:22:30,00:22:30,0.0000,2.2508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:48:29,0.0000000,0.0000,0.0000,0,Close
47,1,1,Rest,00:23:00,00:23:00,0.0000,2.2508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:48:59,0.0000000,0.0000,0.0000,0,Close
48,1,1,Rest,00:23:30,00:23:30,0.0000,2.2508,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:49:29,0.0000000,0.0000,0.0000,0,Close
49,1,1,Rest,00:24:00,00:24:00,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:49:59,0.0000000,0.0000,0.0000,0,Close
50,1,1,Rest,00:24:30,00:24:30,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:50:29,0.0000000,0.0000,0.0000,0,Close
51,1,1,Rest,00:25:00,00:25:00,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:50:59,0.0000000,0.0000,0.0000,0,Close
52,1,1,Rest,00:25:30,00:25:30,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:51:29,0.0000000,0.0000,0.0000,0,Close
53,1,1,Rest,00:26:00,00:26:00,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:51:59,0.0000000,0.0000,0.0000,0,Close
54,1,1,Rest,00:26:30,00:26:30,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:52:29,0.0000000,0.0000,0.0000,0,Close
55,1,1,Rest,00:27:00,00:27:00,0.0000,2.2509,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:52:59,0.0000000,0.0000,0.0000,0,Close
56,1,1,Rest,00:27:30,00:27:30,0.0000,2.2510,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:53:29,0.0000000,0.0000,0.0000,0,Close
57,1,1,Rest,00:28:00,00:28:00,0.0000,2.2510,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:53:59,0.0000000,0.0000,0.0000,0,Close
58,1,1,Rest,00:28:30,00:28:30,0.0000,2.2510,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:54:29,0.0000000,0.0000,0.0000,0,Close
59,1,1,Rest,00:29:00,00:29:00,0.0000,2.2511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:54:59,0.0000000,0.0000,0.0000,0,Close
60,1,1,Rest,00:29:30,00:29:30,0.0000,2.2511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:55:29,0.0000000,0.0000,0.0000,0,Close
61,1,1,Rest,00:30:00,00:30:00,0.0000,2.2511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:55:59,0.0000000,0.0000,0.0000,0,Close
62,1,1,Rest,00:30:30,00:30:30,0.0000,2.2511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:56:29,0.0000000,0.0000,0.0000,0,Close
63,1,1,Rest,00:31:00,00:31:00,0.0000,2.2511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:56:59,0.0000000,0.0000,0.0000,0,Close
64,1,1,Rest,00:31:30,00:31:30,0.0000,2.2511,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:57:29,0.0000000,0.0000,0.0000,0,Close
65,1,1,Rest,00:32:00,00:32:00,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:57:59,0.0000000,0.0000,0.0000,0,Close
66,1,1,Rest,00:32:30,00:32:30,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:58:29,0.0000000,0.0000,0.0000,0,Close
67,1,1,Rest,00:33:00,00:33:00,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:58:59,0.0000000,0.0000,0.0000,0,Close
68,1,1,Rest,00:33:30,00:33:30,0.0000,2.2513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:59:29,0.0000000,0.0000,0.0000,0,Close
69,1,1,Rest,00:34:00,00:34:00,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 16:59:59,0.0000000,0.0000,0.0000,0,Close
70,1,1,Rest,00:34:30,00:34:30,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:00:29,0.0000000,0.0000,0.0000,0,Close
71,1,1,Rest,00:35:00,00:35:00,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:00:59,0.0000000,0.0000,0.0000,0,Close
72,1,1,Rest,00:35:30,00:35:30,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:01:29,0.0000000,0.0000,0.0000,0,Close
73,1,1,Rest,00:36:00,00:36:00,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:01:59,0.0000000,0.0000,0.0000,0,Close
74,1,1,Rest,00:36:30,00:36:30,0.0000,2.2512,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:02:29,0.0000000,0.0000,0.0000,0,Close
75,1,1,Rest,00:37:00,00:37:00,0.0000,2.2513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:02:59,0.0000000,0.0000,0.0000,0,Close
76,1,1,Rest,00:37:30,00:37:30,0.0000,2.2513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:03:29,0.0000000,0.0000,0.0000,0,Close
77,1,1,Rest,00:38:00,00:38:00,0.0000,2.2513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:03:59,0.0000000,0.0000,0.0000,0,Close
78,1,1,Rest,00:38:30,00:38:30,0.0000,2.2513,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:04:29,0.0000000,0.0000,0.0000,0,Close
79,1,1,Rest,00:39:00,00:39:00,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:04:59,0.0000000,0.0000,0.0000,0,Close
80,1,1,Rest,00:39:30,00:39:30,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:05:29,0.0000000,0.0000,0.0000,0,Close
81,1,1,Rest,00:40:00,00:40:00,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:05:59,0.0000000,0.0000,0.0000,0,Close
82,1,1,Rest,00:40:30,00:40:30,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:06:29,0.0000000,0.0000,0.0000,0,Close
83,1,1,Rest,00:41:00,00:41:00,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:06:59,0.0000000,0.0000,0.0000,0,Close
84,1,1,Rest,00:41:30,00:41:30,0.0000,2.2515,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:07:29,0.0000000,0.0000,0.0000,0,Close
85,1,1,Rest,00:42:00,00:42:00,0.0000,2.2515,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:07:59,0.0000000,0.0000,0.0000,0,Close
86,1,1,Rest,00:42:30,00:42:30,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:08:29,0.0000000,0.0000,0.0000,0,Close
87,1,1,Rest,00:43:00,00:43:00,0.0000,2.2514,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:08:59,0.0000000,0.0000,0.0000,0,Close
88,1,1,Rest,00:43:30,00:43:30,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:09:29,0.0000000,0.0000,0.0000,0,Close
89,1,1,Rest,00:44:00,00:44:00,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:09:59,0.0000000,0.0000,0.0000,0,Close
90,1,1,Rest,00:44:30,00:44:30,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:10:29,0.0000000,0.0000,0.0000,0,Close
91,1,1,Rest,00:45:00,00:45:00,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:10:59,0.0000000,0.0000,0.0000,0,Close
92,1,1,Rest,00:45:30,00:45:30,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:11:29,0.0000000,0.0000,0.0000,0,Close
93,1,1,Rest,00:46:00,00:46:00,0.0000,2.2515,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:11:59,0.0000000,0.0000,0.0000,0,Close
94,1,1,Rest,00:46:30,00:46:30,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:12:29,0.0000000,0.0000,0.0000,0,Close
95,1,1,Rest,00:47:00,00:47:00,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:12:59,0.0000000,0.0000,0.0000,0,Close
96,1,1,Rest,00:47:30,00:47:30,0.0000,2.2516,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:13:29,0.0000000,0.0000,0.0000,0,Close
97,1,1,Rest,00:48:00,00:48:00,0.0000,2.2517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:13:59,0.0000000,0.0000,0.0000,0,Close
98,1,1,Rest,00:48:30,00:48:30,0.0000,2.2517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:14:29,0.0000000,0.0000,0.0000,0,Close
99,1,1,Rest,00:49:00,00:49:00,0.0000,2.2517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:14:59,0.0000000,0.0000,0.0000,0,Close
100,1,1,Rest,00:49:30,00:49:30,0.0000,2.2517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:15:29,0.0000000,0.0000,0.0000,0,Close
101,1,1,Rest,00:50:00,00:50:00,0.0000,2.2517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:15:59,0.0000000,0.0000,0.0000,0,Close
102,1,1,Rest,00:50:30,00:50:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:16:29,0.0000000,0.0000,0.0000,0,Close
103,1,1,Rest,00:51:00,00:51:00,0.0000,2.2517,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:16:59,0.0000000,0.0000,0.0000,0,Close
104,1,1,Rest,00:51:30,00:51:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:17:29,0.0000000,0.0000,0.0000,0,Close
105,1,1,Rest,00:52:00,00:52:00,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:17:59,0.0000000,0.0000,0.0000,0,Close
106,1,1,Rest,00:52:30,00:52:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:18:29,0.0000000,0.0000,0.0000,0,Close
107,1,1,Rest,00:53:00,00:53:00,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:18:59,0.0000000,0.0000,0.0000,0,Close
108,1,1,Rest,00:53:30,00:53:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:19:29,0.0000000,0.0000,0.0000,0,Close
109,1,1,Rest,00:54:00,00:54:00,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:19:59,0.0000000,0.0000,0.0000,0,Close
110,1,1,Rest,00:54:30,00:54:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:20:29,0.0000000,0.0000,0.0000,0,Close
111,1,1,Rest,00:55:00,00:55:00,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:20:59,0.0000000,0.0000,0.0000,0,Close
112,1,1,Rest,00:55:30,00:55:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:21:29,0.0000000,0.0000,0.0000,0,Close
113,1,1,Rest,00:56:00,00:56:00,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:21:59,0.0000000,0.0000,0.0000,0,Close
114,1,1,Rest,00:56:30,00:56:30,0.0000,2.2518,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:22:29,0.0000000,0.0000,0.0000,0,Close
115,1,1,Rest,00:57:00,00:57:00,0.0000,2.2519,0,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2025-11-07 17:22:59,0.0000000,0.0000,0.0000,0,Close
